date,ram_type,form_factor,avg_price_per_gb,median_price_per_gb,min_price_per_gb,max_price_per_gb,product_count
2025-12-18,DDR4,DIMM,5.9472,,2.3559,9.852,36
2025-12-18,DDR4,SODIMM,5.0812,,2.6756,7.8997,35
2025-12-18,DDR5,DIMM,10.7597,,5.9997,22.6841,58
2025-12-18,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
2025-12-19,DDR4,DIMM,5.9472,,2.3559,9.852,36
2025-12-19,DDR4,SODIMM,5.0812,,2.6756,7.8997,35
2025-12-19,DDR5,DIMM,10.7918,,5.9997,22.6841,59
2025-12-19,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
2025-12-20,DDR4,DIMM,5.9472,,2.3559,9.852,36
2025-12-20,DDR4,SODIMM,5.0812,,2.6756,7.8997,35
2025-12-20,DDR5,DIMM,10.7204,,5.9997,22.6841,60
2025-12-20,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
2025-12-21,DDR4,DIMM,5.9472,,2.3559,9.852,36
2025-12-21,DDR4,SODIMM,5.0812,,2.6756,7.8997,35
2025-12-21,DDR5,DIMM,10.7204,,5.9997,22.6841,60
2025-12-21,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
2025-12-22,DDR4,DIMM,5.9472,,2.3559,9.852,36
2025-12-22,DDR4,SODIMM,5.131,,2.6756,7.8997,36
2025-12-22,DDR5,DIMM,10.7101,,5.9997,22.6841,62
2025-12-22,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
2025-12-23,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-23,DDR4,SODIMM,5.1831,,2.6756,7.8997,36
2025-12-23,DDR5,DIMM,10.7084,,5.9997,22.6841,64
2025-12-23,DDR5,SODIMM,8.7088,,5.2809,12.0619,16
2025-12-24,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-24,DDR4,SODIMM,5.1831,,2.6756,7.8997,36
2025-12-24,DDR5,DIMM,10.7084,,5.9997,22.6841,64
2025-12-24,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-25,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-25,DDR4,SODIMM,5.217,,2.6756,7.8997,37
2025-12-25,DDR5,DIMM,10.7084,,5.9997,22.6841,64
2025-12-25,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-26,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-26,DDR4,SODIMM,5.217,,2.6756,7.8997,37
2025-12-26,DDR5,DIMM,10.7084,,5.9997,22.6841,64
2025-12-26,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-27,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-27,DDR4,SODIMM,5.217,,2.6756,7.8997,37
2025-12-27,DDR5,DIMM,10.7084,,5.9997,22.6841,64
2025-12-27,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-28,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-28,DDR4,SODIMM,5.2719,,2.6756,7.8997,37
2025-12-28,DDR5,DIMM,10.7011,,5.9997,22.6841,66
2025-12-28,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-29,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-29,DDR4,SODIMM,5.2719,,2.6756,7.8997,37
2025-12-29,DDR5,DIMM,10.7503,,5.9997,22.6841,66
2025-12-29,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-30,DDR4,DIMM,5.9731,,2.3559,9.852,37
2025-12-30,DDR4,SODIMM,5.2719,,2.6756,7.8997,37
2025-12-30,DDR5,DIMM,10.7503,,5.9997,22.6841,66
2025-12-30,DDR5,SODIMM,8.83,,5.2809,12.0619,16
2025-12-31,DDR4,DIMM,6.063,,2.3559,9.852,38
2025-12-31,DDR4,SODIMM,5.2998,,2.6756,7.8997,37
2025-12-31,DDR5,DIMM,10.7669,,5.9997,22.6841,66
2025-12-31,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-01,DDR4,DIMM,6.0998,,2.3559,9.852,38
2026-01-01,DDR4,SODIMM,5.2998,,2.6756,7.8997,37
2026-01-01,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-01,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-02,DDR4,DIMM,6.0998,,2.3559,9.852,38
2026-01-02,DDR4,SODIMM,5.2998,,2.6756,7.8997,37
2026-01-02,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-02,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-03,DDR4,DIMM,6.0998,,2.3559,9.852,38
2026-01-03,DDR4,SODIMM,5.2998,,2.6756,7.8997,37
2026-01-03,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-03,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-04,DDR4,DIMM,6.0998,,2.3559,9.852,38
2026-01-04,DDR4,SODIMM,5.2998,,2.6756,7.8997,37
2026-01-04,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-04,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-05,DDR4,DIMM,6.0949,,2.3559,9.852,39
2026-01-05,DDR4,SODIMM,5.2998,,2.6756,7.8997,37
2026-01-05,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-05,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-06,DDR4,DIMM,6.0949,,2.3559,9.852,39
2026-01-06,DDR4,SODIMM,5.3145,,2.6756,7.8997,37
2026-01-06,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-06,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-07,DDR4,DIMM,6.0949,,2.3559,9.852,39
2026-01-07,DDR4,SODIMM,5.3182,,2.6756,7.8997,37
2026-01-07,DDR5,DIMM,10.7067,,5.9997,22.6841,66
2026-01-07,DDR5,SODIMM,8.8436,,5.2809,12.0619,17
2026-01-08,DDR4,DIMM,6.0893,,2.3559,9.852,40
2026-01-08,DDR4,SODIMM,5.4495,,2.6756,10.3059,38
2026-01-08,DDR5,DIMM,10.7886,,5.9997,22.6841,66
2026-01-08,DDR5,SODIMM,8.7315,,5.2809,12.0619,17
2026-01-09,DDR4,DIMM,6.4362,,2.3559,20.3119,41
2026-01-09,DDR4,SODIMM,5.6426,,2.6756,10.3059,40
2026-01-09,DDR5,DIMM,10.7886,,5.9997,22.6841,66
2026-01-09,DDR5,SODIMM,8.9134,,5.2809,12.0619,17
2026-01-10,DDR4,DIMM,6.4362,,2.3559,20.3119,41
2026-01-10,DDR4,SODIMM,5.6426,,2.6756,10.3059,40
2026-01-10,DDR5,DIMM,10.7951,,5.9997,22.6841,66
2026-01-10,DDR5,SODIMM,8.9134,,5.2809,12.0619,17
2026-01-11,DDR4,DIMM,6.4362,,2.3559,20.3119,41
2026-01-11,DDR4,SODIMM,5.6426,,2.6756,10.3059,40
2026-01-11,DDR5,DIMM,10.8465,,5.9997,22.6841,66
2026-01-11,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-12,DDR4,DIMM,6.4713,,2.3559,20.3119,41
2026-01-12,DDR4,SODIMM,5.6426,,2.6756,10.3059,40
2026-01-12,DDR5,DIMM,10.8907,,5.9997,22.6841,66
2026-01-12,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-13,DDR4,DIMM,6.5818,,2.3559,20.3119,41
2026-01-13,DDR4,SODIMM,5.6476,,2.6756,10.3059,40
2026-01-13,DDR5,DIMM,10.9022,,5.9997,22.6841,66
2026-01-13,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-14,DDR4,DIMM,6.4928,,2.3559,20.3119,41
2026-01-14,DDR4,SODIMM,5.6476,,2.6756,10.3059,40
2026-01-14,DDR5,DIMM,10.9451,,5.9997,22.6841,66
2026-01-14,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-15,DDR4,DIMM,6.5351,,2.3559,20.3119,42
2026-01-15,DDR4,SODIMM,5.6473,,2.6756,10.3059,40
2026-01-15,DDR5,DIMM,11.0024,,5.9997,22.6841,66
2026-01-15,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-16,DDR4,DIMM,6.5351,,2.3559,20.3119,42
2026-01-16,DDR4,SODIMM,5.6473,,2.6756,10.3059,40
2026-01-16,DDR5,DIMM,11.0024,,5.9997,22.6841,66
2026-01-16,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-17,DDR4,DIMM,6.6767,,2.3559,20.3119,42
2026-01-17,DDR4,SODIMM,5.6473,,2.6756,10.3059,40
2026-01-17,DDR5,DIMM,11.0024,,5.9997,22.6841,66
2026-01-17,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-18,DDR4,DIMM,6.6984,,2.3559,20.3119,42
2026-01-18,DDR4,SODIMM,5.692,,2.6756,10.3059,40
2026-01-18,DDR5,DIMM,10.9296,,5.9997,22.6841,66
2026-01-18,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-19,DDR4,DIMM,6.6984,,2.3559,20.3119,42
2026-01-19,DDR4,SODIMM,5.692,,2.6756,10.3059,40
2026-01-19,DDR5,DIMM,10.9174,,5.9997,22.6841,66
2026-01-19,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-20,DDR4,DIMM,6.9343,,2.3559,20.3119,43
2026-01-20,DDR4,SODIMM,5.688,,2.6756,10.3059,40
2026-01-20,DDR5,DIMM,10.9302,,5.9997,22.6841,66
2026-01-20,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-21,DDR4,DIMM,6.9343,,2.3559,20.3119,43
2026-01-21,DDR4,SODIMM,5.688,,2.6756,10.3059,40
2026-01-21,DDR5,DIMM,10.928,,4.8419,22.6841,67
2026-01-21,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-22,DDR4,DIMM,6.9343,,2.3559,20.3119,43
2026-01-22,DDR4,SODIMM,5.688,,2.6756,10.3059,40
2026-01-22,DDR5,DIMM,10.9307,,4.8419,22.6841,67
2026-01-22,DDR5,SODIMM,9.1504,,5.2809,13.0919,17
2026-01-23,DDR4,DIMM,6.9243,,2.3559,20.3119,43
2026-01-23,DDR4,SODIMM,5.688,,2.6756,10.3059,40
2026-01-23,DDR5,DIMM,10.9427,,4.8419,22.6841,67
2026-01-23,DDR5,SODIMM,9.1834,,5.2809,13.0919,17
2026-01-24,DDR4,DIMM,6.9243,,2.3559,20.3119,43
2026-01-24,DDR4,SODIMM,5.688,,2.6756,10.3059,40
2026-01-24,DDR5,DIMM,10.9427,,4.8419,22.6841,67
2026-01-24,DDR5,SODIMM,9.1834,,5.2809,13.0919,17
2026-01-25,DDR4,DIMM,7.0197,,2.3559,20.3119,44
2026-01-25,DDR4,SODIMM,5.688,,2.6756,10.3059,40
2026-01-25,DDR5,DIMM,10.9427,,4.8419,22.6841,67
2026-01-25,DDR5,SODIMM,9.1834,,5.2809,13.0919,17
2026-01-26,DDR4,DIMM,7.013,,2.3559,20.3119,44
2026-01-26,DDR4,SODIMM,5.6877,,2.6756,10.3059,40
2026-01-26,DDR5,DIMM,10.9212,,4.8419,22.6841,67
2026-01-26,DDR5,SODIMM,9.1834,,5.2809,13.0919,17
2026-01-27,DDR4,DIMM,7.013,,2.3559,20.3119,44
2026-01-27,DDR4,SODIMM,5.6877,,2.6756,10.3059,40
2026-01-27,DDR5,DIMM,10.9912,,4.8419,22.6841,67
2026-01-27,DDR5,SODIMM,9.1853,,5.2809,13.1244,17
2026-01-28,DDR4,DIMM,7.013,,2.3559,20.3119,44
2026-01-28,DDR4,SODIMM,5.6877,,2.6756,10.3059,40
2026-01-28,DDR5,DIMM,10.9912,,4.8419,22.6841,67
2026-01-28,DDR5,SODIMM,9.2257,,5.2809,13.1244,17
2026-01-29,DDR4,DIMM,7.013,,2.3559,20.3119,44
2026-01-29,DDR4,SODIMM,5.6981,,2.6756,10.3059,40
2026-01-29,DDR5,DIMM,10.9912,,4.8419,22.6841,67
2026-01-29,DDR5,SODIMM,9.2257,,5.2809,13.1244,17
2026-01-30,DDR4,DIMM,7.013,,2.3559,20.3119,44
2026-01-30,DDR4,SODIMM,5.6981,,2.6756,10.3059,40
2026-01-30,DDR5,DIMM,10.9912,,4.8419,22.6841,67
2026-01-30,DDR5,SODIMM,9.2257,,5.2809,13.1244,17
2026-01-31,DDR4,DIMM,7.0847,,2.3559,20.3119,44
2026-01-31,DDR4,SODIMM,5.6981,,2.6756,10.3059,40
2026-01-31,DDR5,DIMM,11.0593,,4.8419,22.6841,68
2026-01-31,DDR5,SODIMM,9.2826,,5.2809,13.1244,17
2026-02-01,DDR4,DIMM,7.0847,,2.3559,20.3119,44
2026-02-01,DDR4,SODIMM,5.7004,,2.6756,10.3059,40
2026-02-01,DDR5,DIMM,11.1726,,4.8419,22.6841,68
2026-02-01,DDR5,SODIMM,9.2784,,5.2809,13.1244,17
2026-02-02,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-02,DDR4,SODIMM,5.7004,,2.6756,10.3059,40
2026-02-02,DDR5,DIMM,11.2363,,4.8419,22.6841,69
2026-02-02,DDR5,SODIMM,9.2784,,5.2809,13.1244,17
2026-02-03,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-03,DDR4,SODIMM,5.7004,,2.6756,10.3059,40
2026-02-03,DDR5,DIMM,11.2363,,4.8419,22.6841,69
2026-02-03,DDR5,SODIMM,9.2784,,5.2809,13.1244,17
2026-02-04,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-04,DDR4,SODIMM,5.7731,,2.6756,10.3059,40
2026-02-04,DDR5,DIMM,11.2722,,4.8419,22.6841,70
2026-02-04,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-05,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-05,DDR4,SODIMM,5.7731,,2.6756,10.3059,40
2026-02-05,DDR5,DIMM,11.3141,,4.8419,22.6841,70
2026-02-05,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-06,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-06,DDR4,SODIMM,5.7731,,2.6756,10.3059,40
2026-02-06,DDR5,DIMM,11.321,,4.8419,22.6841,70
2026-02-06,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-07,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-07,DDR4,SODIMM,5.7916,,2.6756,10.3059,40
2026-02-07,DDR5,DIMM,11.3034,,4.8419,22.6841,70
2026-02-07,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-08,DDR4,DIMM,7.1091,,2.3559,20.3119,45
2026-02-08,DDR4,SODIMM,5.9243,,2.6756,10.3059,41
2026-02-08,DDR5,DIMM,11.3034,,4.8419,22.6841,70
2026-02-08,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-09,DDR4,DIMM,7.1094,,2.3559,20.3119,45
2026-02-09,DDR4,SODIMM,5.9496,,2.6756,10.3059,41
2026-02-09,DDR5,DIMM,11.3258,,4.8419,22.6841,70
2026-02-09,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-10,DDR4,DIMM,7.1094,,2.3559,20.3119,45
2026-02-10,DDR4,SODIMM,5.9496,,2.6756,10.3059,41
2026-02-10,DDR5,DIMM,11.3702,,4.8419,22.6841,70
2026-02-10,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-11,DDR4,DIMM,7.1094,,2.3559,20.3119,45
2026-02-11,DDR4,SODIMM,5.9496,,2.6756,10.3059,41
2026-02-11,DDR5,DIMM,11.3702,,4.8419,22.6841,70
2026-02-11,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-12,DDR4,DIMM,7.1094,,2.3559,20.3119,45
2026-02-12,DDR4,SODIMM,6.0016,,2.6756,10.3059,41
2026-02-12,DDR5,DIMM,11.3702,,4.8419,22.6841,70
2026-02-12,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-13,DDR4,DIMM,7.1565,,2.3559,20.3119,45
2026-02-13,DDR4,SODIMM,6.0016,,2.6756,10.3059,41
2026-02-13,DDR5,DIMM,11.3702,,4.8419,22.6841,70
2026-02-13,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-14,DDR4,DIMM,7.1565,,2.3559,20.3119,45
2026-02-14,DDR4,SODIMM,6.0016,,2.6756,10.3059,41
2026-02-14,DDR5,DIMM,11.3806,,4.8419,22.6841,70
2026-02-14,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-15,DDR4,DIMM,7.176,,2.3559,20.3119,45
2026-02-15,DDR4,SODIMM,6.0858,,2.6756,10.3059,41
2026-02-15,DDR5,DIMM,11.3806,,4.8419,22.6841,70
2026-02-15,DDR5,SODIMM,9.265,,5.2809,13.1244,17
2026-02-16,DDR4,DIMM,7.176,,2.3559,20.3119,45
2026-02-16,DDR4,SODIMM,6.0858,,2.6756,10.3059,41
2026-02-16,DDR5,DIMM,11.3806,,4.8419,22.6841,70
